# Data extracted from academic table
# Generated automatically
# Shape: 36 rows, 11 columns
#
Name,Other_name,Beam_arcsec_x_arcsec,Beam_PA_deg,rms_microJy_beam,Flux_mJy,Mdust_MEarth,Spectral_index,Flux_mJy_uncertainty,Mdust_MEarth_uncertainty,Spectral_index_uncertainty
Sz_65,–,0.46_×_0.35,−44,53.0,5.45,14.48,1.96,0.17,0.44,0.11
Sz_66,–,0.46_×_0.35,−44,53.0,1.21,3.31,1.98,0.14,0.37,0.14
J15450634−3417378,–,0.53_×_0.39,88.0,20.0,1.03,3.41,2.12,0.07,0.22,0.12
J15450887−3417333,–,0.46_×_0.35,−46,47.0,3.86,10.27,1.96,0.16,0.42,0.12
Sz_68,HT_Lup,0.46_×_0.35,−46,55.0,13.74,36.03,1.89,0.14,0.37,0.11
Sz_69,–,0.53_×_0.39,88.0,18.0,1.64,4.32,1.85,0.06,0.17,0.12
Sz_71,GW_Lup,0.46_×_0.35,−47,46.0,9.82,35.41,2.24,0.21,0.76,0.11
Sz_72,–,0.53_×_0.39,88.0,18.0,0.95,3.01,2.13,0.06,0.18,0.12
Sz_73,–,0.43_×_0.36,−23,30.0,1.97,6.57,2.16,0.08,0.28,0.12
Sz_74,–,0.44_×_0.38,−39,24.0,2.55,6.38,1.67,0.11,0.26,0.12
Sz_75,GQ_Lup,0.46_×_0.35,−45,46.0,4.6,15.75,2.24,0.11,0.37,0.11
Sz_82,IM_Lup,0.45_×_0.35,−33,54.0,20.45,131.18,2.67,0.51,3.27,0.16
Sz_83,RU_Lup,0.45_×_0.36,−34,65.0,22.74,95.3,2.32,0.31,1.3,0.11
Sz_84,–,0.45_×_0.38,−41,24.0,1.59,6.66,2.39,0.04,0.16,0.11
Sz_129,–,0.46_×_0.35,−32,47.0,9.9,41.47,2.3,0.17,0.7,0.11
J15592838−4021513,RY_Lup,0.45_×_0.35,−32,43.0,7.18,60.56,2.89,0.26,2.16,0.12
J16000236−4222145,–,0.46_×_0.36,−31,43.0,6.83,28.32,2.27,0.18,0.75,0.11
J16004452−4155310,MY_Lup,0.45_×_0.35,−32,48.0,8.83,37.96,2.37,0.2,0.84,0.11
J16011549−4152351,–,0.45_×_0.36,−21,29.0,2.57,18.45,2.74,0.13,0.93,0.12
Sz_133,–,0.45_×_0.36,−23,30.0,3.96,14.6,2.26,0.08,0.3,0.11
J16070854−3914075,–,0.45_×_0.38,−42,24.0,5.26,25.44,2.26,0.12,0.56,0.11
Sz_90,–,0.45_×_0.38,−42,22.0,1.17,4.92,2.31,0.06,0.26,0.12
Sz_91,–,0.45_×_0.35,−35,43.0,,,,,,
Sz_98,HK_Lup,0.45_×_0.36,−36,43.0,12.73,50.73,2.31,0.25,1.01,0.11
Sz_100,–,0.45_×_0.38,−43,23.0,3.23,9.05,2.24,0.09,0.26,0.11
J16083070−3828268,–,0.45_×_0.35,−35,41.0,4.77,28.74,2.65,0.29,1.72,0.12
J16083427−3906181,V856_Sco,0.45_×_0.35,−36,45.0,5.14,14.71,1.89,0.16,0.45,0.11
Sz_108B,–,0.45_×_0.38,−41,23.0,1.75,6.72,2.16,0.07,0.28,0.12
Sz_110,–,0.52_×_0.40,83.0,19.0,1.32,3.71,1.94,0.04,0.12,0.12
J16085324−3914401,–,0.45_×_0.38,−41,22.0,1.49,4.85,2.04,0.07,0.22,0.12
Sz_111,–,0.45_×_0.35,−34,44.0,5.83,39.15,2.71,0.17,1.11,0.11
Sz_113,–,0.45_×_0.38,−44,23.0,2.07,6.07,1.88,0.06,0.19,0.11
Sz_114,–,0.45_×_0.35,−36,44.0,5.6,22.26,2.25,0.15,0.59,0.11
Sz_118,–,0.45_×_0.38,−43,23.0,3.11,14.88,2.39,0.1,0.49,0.12
Sz_123,–,0.51_×_0.39,81.0,19.0,2.53,9.46,2.2,0.04,0.15,0.11
J16124373−3815031,–,0.44_×_0.36,−26,30.0,1.84,6.7,2.2,0.07,0.25,0.12
