Source,Beam_Size_arcsec,rms_mJy_beam,F_2.9mm_mJy,F_2.9mm_err,F_0.88mm_mJy,F_0.88mm_err,alpha_mm,alpha_mm_err
J16113134-1838259,3.31×2.08,0.075,51.824,0.021,903.56,0.85,2.43,0.09
J16042165-2130284,3.27×2.08,0.038,5.122,0.021,218.76,0.81,3.19,0.1
J15583692-2257153,3.25×2.08,0.042,5.033,0.021,174.92,0.27,3.01,0.1
J16090075-1908526,3.29×2.07,0.041,3.313,0.022,47.28,0.91,2.26,0.1
J16082324-1930009,3.28×2.07,0.042,3.147,0.022,43.19,0.81,2.22,0.1
J16142029-1906481,3.30×2.07,0.047,3.193,0.021,40.69,0.22,2.16,0.1
J16154416-1921171,3.31×2.08,0.046,2.068,0.021,23.57,0.16,2.07,0.1
J16075796-2040087,3.27×2.07,0.3,2.643,0.021,23.49,0.12,1.86,0.1
J16072625-2432079,3.24×2.08,0.047,1.054,0.021,13.12,0.24,2.14,0.1
J16024152-2138245,3.24×2.07,0.042,1.109,0.021,10.25,0.19,1.89,0.1
J16054540-2023088,3.27×2.07,0.045,0.991,0.022,7.64,0.15,1.73,0.1
J16135434-2320342,3.27×2.08,0.038,1.202,0.021,7.53,0.13,1.56,0.1
J16123916-1859284,3.22×2.14,0.037,0.467,0.015,6.01,0.29,2.17,0.11
J15582981-2310077,3.17×2.14,0.027,0.651,0.015,5.86,0.18,1.87,0.1
J15530132-2114135,3.17×2.14,0.032,0.681,0.015,5.78,0.14,1.82,0.1
J16020757-2257467,3.19×2.14,0.03,0.219,0.015,5.26,0.27,2.7,0.12
J16111330-2019029,3.22×2.14,0.026,0.758,0.015,4.88,0.16,1.58,0.1
J16141107-2305362,3.23×2.15,0.029,0.705,0.015,4.77,0.14,1.62,0.1
J16181904-2028479,3.23×2.14,0.021,0.521,0.015,4.62,0.12,1.85,0.1
J16035767-2031055,3.22×2.14,0.033,0.453,0.015,4.3,0.39,1.91,0.13
J16062196-1928445,3.21×2.14,0.029,0.616,0.015,4.08,0.52,1.61,0.15
J16001844-2230114,3.18×2.14,0.025,0.359,0.015,3.89,0.15,2.02,0.11
J16014086-2258103,3.22×2.14,0.023,0.335,0.015,3.45,0.14,1.98,0.11
