Idx	Name	Incl	PA	Continuum	Properties	CO	Line	Properties	R_CO/R_mm	References  
1	CX Tau	55.1	246.2	227.7	9.8	29 +or- 4	2-1	1.94	115 +or- 13	3.9 +or- 0.7	1	
2	DL Tau	45.0	232.1	225.5	170.7	144 +or- 10	2-1	7.05	597 +or- 91	4.1 +or- 0.7	2,3	
3	DM Tau	36.0	338.0	283.9	99.1	178 +or- 14	2-1	15.21	876 +or- 23	4.9 +or- 0.4	4,5	
4	GO Tau	53.9	20.9	225.5	64.8	134 +or- 9	2-1	17.66	1014 +or- 83	7.6 +or- 0.8	2,3	
5	UZ Tau	56.1	270.4	225.5	129.5	83 +or- 8	2-1	7.32	389 +or- 75	4.7 +or- 1.0	2,3	
6	FP Tau	42.9	237.8	230.5	8.4	47 +or- 16	2-1	0.81	74 +or- 17	1.6 +or- 0.7	6	
7	CIDA 1	38.5	11.5	338.6	35.9	38 +or- 9	3-2	1.25	132 +or- 14	3.5 +or- 0.9	7	
8	CIDA 7	31.4	274.0	338.2	25.5	21 +or- 6	3-2	1.19	95 +or- 11	4.6 +or- 1.7	7	
9	MHO 6	65.2	293.6	338.5	49.0	56 +or- 6	3-2	3.56	218 +or- 7	3.9 +or- 0.5	7	
10	J0415	37.3	122.8	338.2	1.0	16 +or- 8	3-2	0.23	47 +or- 13	2.9 +or- 1.8	7	
11	J0420	38.4	105.1	338.5	16.5	34 +or- 8	3-2	0.4	59 +or- 10	1.7 +or- 0.5	7	
12	J0433	65.2	165.3	338.5	37.5	63 +or- 9	3-2	1.3	165 +or- 12	2.6 +or- 0.4	7	
13	Sz 65	61.5	108.6	225.0	29.9	66 +or- 2	2-1	2.08	178 +or- 25	2.7 +or- 0.4	8	
14	Sz 73	49.8	94.7	225.0	10.8	58 +or- 3	2-1	1.63	107 +or- 9	1.8 +or- 0.2	8	
15	Sz 75	60.2	169.0	225.0	34.1	56 +or- 2	2-1	3.01	195 +or- 21	3.5 +or- 0.4	8	
16	Sz 76	38.9	113.0	225.0	4.7	80 +or- 11	2-1	1.60	174 +or- 6	2.2 +or- 0.3	8	
17	J1556	53.5	55.6	225.0	23.5	59 +or- 2	2-1	1.16	116 +or- 3	2.0 +or- 0.1	8	
18	Sz 84	65.0	168.0	225.0	12.6	81 +or- 3	2-1	1.41	148 +or- 18	1.8 +or- 0.2	8	
19	RY Lup	68.0	109.0	225.0	86.1	141 +or- 3	2-1	3.66	263 +or- 66	1.9 +or- 0.5	8	
20	J1600	65.7	160.5	225.0	50.0	123 +or- 3	2-1	2.45	291 +or- 49	2.4 +or- 0.4	8	
21	EX Lup	30.5	70.0	225.0	19.5	49 +or- 2	2-1	3.14	140 +or- 9	2.9 +or- 0.2	8	
22	Sz 133	78.5	126.3	225.0	27.0	145 +or- 6	2-1	1.71	243 +or- 67	1.7 +or- 0.5	8	
23	Sz 91	51.7	17.4	225.0	9.5	123 +or- 3	2-1	2.34	358 +or- 64	2.9 +or- 0.5	8	
24	Sz 98	47.1	111.6	225.0	103.4	148 +or- 3	2-1	cdots	279 +or- 41	1.9 +or- 0.3	8	
25	Sz 100	45.1	60.2	225.0	21.7	56 +or- 2	2-1	1.08	121 +or- 8	2.2 +or- 0.2	8	
26	J1608	74.0	107.0	225.0	38.8	141 +or- 3	2-1	5.90	305 +or- 77	2.2 +or- 0.6	8	
27	V1094 Sco	55.4	110.0	225.0	180.0	256 +or- 15	2-1	4.88	335 +or- 86	1.3 +or- 0.4	8	
28	Sz 111	53.0	40.0	225.0	60.3	105 +or- 2	2-1	2.56	363 +or- 75	3.4 +or- 0.7	8	
29	Sz 123A	43.0	145.0	225.0	16.1	60 +or- 2	2-1	cdots	118 +or- 10	2.0 +or- 0.2	8	
30	GW Lup	38.7	37.6	240.0	89	92 +or- 3	2-1	3.1	267 +or- 8	2.9 +or- 0.1	9	
31	IM Lup	47.5	144.5	240.0	253	244 +or- 4	2-1	30.68	803 +or- 9	3.3 +or- 0.1	9	
32	MY Lup	73.2	238.8	240.0	79	77 +or- 3	2-1	2.86	192 +or- 7	2.5 +or- 0.1	9	
33	Sz 129	34.1	151.0	240.0	86	68 +or- 3	2-1	1.56	130 +or- 8	1.9 +or- 0.1	9	
34	AS 209	35.0	85.8	240.0	288	127 +or- 2	2-1	10.62	280 +or- 5	2.2 +or- 0.1	9	
35	SR 4	22.0	18.0	240.0	69	29 +or- 2	2-1	1.5	82 +or- 7	2.8 +or- 0.3	9	
36	DoAr 25	67.4	290.6	240.0	246	147 +or- 2	2-1	2.78	233 +or- 6	1.6 +or- 0.1	9	
37	DoAr 33	41.8	81.1	240.0	35	25 +or- 2	2-1	1.12	64 +or- 6	2.6 +or- 0.3	9	
38	WaOph 6	47.3	174.2	240.0	161	91 +or- 4	2-1	10.91	297 +or- 7	3.3 +or- 0.1	9	
39	HD 142666	62.2	162.1	240.0	120	53 +or- 2	2-1	4.24	171 +or- 5	3.2 +or- 0.2	9	
40	HD 143006	18.6	169.0	240.0	59	78 +or- 4	2-1	2.94	154 +or- 5	2.0 +or- 0.1	9	
41	HD 163296	46.7	313.3	240.0	715	137 +or- 2	2-1	60.56	478 +or- 5	3.5 +or- 0.1	9	
42	J1100	19.1	340.3	225.0	25	118 +or- 31	2-1	1.3	273 +or- 31	2.3 +or- 0.7	6	
43	TW Hya	5.0	152.0	290.5	580	59 +or- 1	3-2	41.8	184 +or- 4	3.1 +or- 0.1	10	
44	V4046 Sgr	33.5	256.0	283.9	49.6	66 +or- 12	2-1	35.55	362 +or- 39	5.5 +or- 1.2	4,11	
